t,x,y,z
0.166,3.0415,0.951057,4.8667
0.167,3.04175,0.809017,4.8722
0.168,3.042,0.587785,4.87771
0.169,3.04225,0.309017,4.88321
0.17,3.0425,-3.6998e-14,4.88873
0.171,3.04275,-0.309017,4.89424
0.172,3.043,-0.587785,4.89976
0.173,3.04325,-0.809017,4.90528
0.174,3.0435,-0.951057,4.91081
0.175,3.04375,-1,4.91634
0.176,3.044,-0.951057,4.92188
0.177,3.04425,-0.809017,4.92742
0.178,3.0445,-0.587785,4.93296
0.179,3.04475,-0.309017,4.93851
0.18,3.045,4.04282e-14,4.94406
0.181,3.04525,0.309017,4.94962
0.182,3.0455,0.587785,4.95518
0.183,3.04575,0.809017,4.96075
0.184,3.046,0.951057,4.96632
0.185,3.04625,1,4.97189
0.186,3.0465,0.951057,4.97747
0.187,3.04675,0.809017,4.98305
0.188,3.047,0.587785,4.98863
0.189,3.04725,0.309017,4.99422
0.19,3.0475,-4.38584e-14,4.99982
0.191,3.04775,-0.309017,5.00542
0.192,3.048,-0.587785,5.01102
0.193,3.04825,-0.809017,5.01663
0.194,3.0485,-0.951057,5.02224
0.195,3.04875,-1,5.02785
0.196,3.049,-0.951057,5.03348
0.197,3.04925,-0.809017,5.0391
0.198,3.0495,-0.587785,5.04473
0.199,3.04975,-0.309017,5.05036
0.2,3.05,4.72887e-14,5.056
0.201,3.05025,0.309017,5.06164
0.202,3.0505,0.587785,5.06729
0.203,3.05075,0.809017,5.07294
0.204,3.051,0.951057,5.0786
0.205,3.05125,1,5.08426
0.206,3.0515,0.951057,5.08992
0.207,3.05175,0.809017,5.09559
0.208,3.052,0.587785,5.10126
0.209,3.05225,0.309017,5.10694
0.21,3.0525,-4.36135e-14,5.11262
0.211,3.05275,-0.309017,5.11831
0.212,3.053,-0.587785,5.124
0.213,3.05325,-0.809017,5.1297
0.214,3.0535,-0.951057,5.1354
0.215,3.05375,-1,5.1411
0.216,3.054,-0.951057,5.14681
0.217,3.05425,-0.809017,5.15253
0.218,3.0545,-0.587785,5.15824
0.219,3.05475,-0.309017,5.16397
0.22,3.055,4.70438e-14,5.1697
0.221,3.05525,0.309017,5.17543
0.222,3.0555,0.587785,5.18117
0.223,3.05575,0.809017,5.18691
0.224,3.056,0.951057,5.19265
0.225,3.05625,1,5.19841
0.226,3.0565,0.951057,5.20416
0.227,3.05675,0.809017,5.20992
0.228,3.057,0.587785,5.21569
0.229,3.05725,0.309017,5.22146
0.23,3.0575,-5.0474e-14,5.22723
0.231,3.05775,-0.309017,5.23301
0.232,3.058,-0.587785,5.2388
0.233,3.05825,-0.809017,5.24459
0.234,3.0585,-0.951057,5.25038
0.235,3.05875,-1,5.25618
0.236,3.059,-0.951057,5.26198
0.237,3.05925,-0.809017,5.26779
0.238,3.0595,-0.587785,5.27361
0.239,3.05975,-0.309017,5.27942
0.24,3.06,5.39043e-14,5.28525
0.241,3.06025,0.309017,5.29108
0.242,3.0605,0.587785,5.29691
0.243,3.06075,0.809017,5.30275
0.244,3.061,0.951057,5.30859
0.245,3.06125,1,5.31444
0.246,3.0615,0.951057,5.32029
0.247,3.06175,0.809017,5.32615
0.248,3.062,0.587785,5.33201
0.249,3.06225,0.309017,5.33788
0.25,3.0625,-5.73345e-14,5.34375
0.251,3.06275,-0.309017,5.34963
0.252,3.063,-0.587785,5.35551
0.253,3.06325,-0.809017,5.3614
0.254,3.0635,-0.951057,5.36729
0.255,3.06375,-1,5.37319
0.256,3.064,-0.951057,5.37909
0.257,3.06425,-0.809017,5.385
0.258,3.0645,-0.587785,5.39091
0.259,3.06475,-0.309017,5.39683
0.26,3.065,6.07648e-14,5.40275
0.261,3.06525,0.309017,5.40868
0.262,3.0655,0.587785,5.41461
0.263,3.06575,0.809017,5.42055
0.264,3.066,0.951057,5.4265
0.265,3.06625,1,5.43244
0.266,3.0665,0.951057,5.4384
0.267,3.06675,0.809017,5.44436
0.268,3.067,0.587785,5.45032
0.269,3.06725,0.309017,5.45629
0.27,3.0675,-6.4195e-14,5.46227
0.271,3.06775,-0.309017,5.46825
0.272,3.068,-0.587785,5.47423
0.273,3.06825,-0.809017,5.48022
0.274,3.0685,-0.951057,5.48622
0.275,3.06875,-1,5.49222
0.276,3.069,-0.951057,5.49823
0.277,3.06925,-0.809017,5.50424
0.278,3.0695,-0.587785,5.51025
0.279,3.06975,-0.309017,5.51628
0.28,3.07,6.76253e-14,5.5223
0.281,3.07025,0.309017,5.52834
0.282,3.0705,0.587785,5.53438
0.283,3.07075,0.809017,5.54042
0.284,3.071,0.951057,5.54647
0.285,3.07125,1,5.55252
0.286,3.0715,0.951057,5.55858
0.287,3.07175,0.809017,5.56465
0.288,3.072,0.587785,5.57072
0.289,3.07225,0.309017,5.5768
0.29,3.0725,-7.10555e-14,5.58288
0.291,3.07275,-0.309017,5.58897
0.292,3.073,-0.587785,5.59506
0.293,3.07325,-0.809017,5.60116
0.294,3.0735,-0.951057,5.60726
0.295,3.07375,-1,5.61337
0.296,3.074,-0.951057,5.61948
0.297,3.07425,-0.809017,5.62561
0.298,3.0745,-0.587785,5.63173
0.299,3.07475,-0.309017,5.63786
0.3,3.075,6.02749e-14,5.644
0.301,3.07525,0.309017,5.65014
0.302,3.0755,0.587785,5.65629
0.303,3.07575,0.809017,5.66245
0.304,3.076,0.951057,5.6686
0.305,3.07625,1,5.67477
0.306,3.0765,0.951057,5.68094
0.307,3.07675,0.809017,5.68712
0.308,3.077,0.587785,5.6933
0.309,3.07725,0.309017,5.69949
0.31,3.0775,-6.37052e-14,5.70568
0.311,3.07775,-0.309017,5.71188
0.312,3.078,-0.587785,5.71809
0.313,3.07825,-0.809017,5.7243
0.314,3.0785,-0.951057,5.73051
0.315,3.07875,-1,5.73674
